decision,reason_code,reason,title,year,venue,doi,arxiv,url,source_file,abstract_snippet
REVIEW,R_TRACK_ARRAY,Tracking terms with array/radar context; DOA not explicit.,Deconvolved Conventional Beamforming and Adaptive Cubature Kalman Filter Based Distant Speech Perception System,2020,IEEE Access,10.1109/access.2020.3030814,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9222129,ieee_xplore_2026-02-19_05-59-34.csv,"A spatial-temporal processing framework integrated of speech enhancement and speech tracking is proposed in this paper for distant speech perception. First, weak speech signals are enhanced by the deconvolved conventional beamforming (DCBF) with a microphone array. By virtue of t..."
REVIEW,R_DOA_ONLY,Mentions DOA/AoA but no explicit Kalman/tracking terms; review.,DOA Estimation on Sub-Array Geometry Using Model Based Approach,2019,2019 International Conference on Applied Machine Learning (ICAML),10.1109/icaml48257.2019.00018,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8989248,ieee_xplore_2026-02-19_05-59-34.csv,"The paper presents a model-based method to estimate the DOAs of multiple targets using various adaptive algorithms. The model the parameters of the LTI system are considered as the weight associating the adaptive filter. Further to improve the performance, the geometry of the Ant..."
EXCLUDE,E_NOT_DOA,No DOA/AoA/array context in title/abstract.,Kalman Filter for Dynamic Imaging Based on Complex Empirical Covariances,2023,2023 IEEE 9th International Workshop on Computational Advances in Multi-Sensor Adaptive Processing (CAMSAP),10.1109/camsap58249.2023.10403483,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10403483,ieee_xplore_2026-02-19_05-59-34.csv,"Kalman filter (KF) is a priori unsuitable for the estimation from sample covariance matrices as they cannot be formulated analytically as a function of state parameters to be estimated. In this work, we propose a novel KF adapted to sample covariance matrices under the unconditio..."
INCLUDE,I_DOA_TRACK,Mentions DOA/AoA and tracking (Kalman/EKF/UKF/innovation).,RF emitter localization and beam pattern auto-calibration using amplitude comparison of a two-element array,2015,2015 IEEE 6th International Workshop on Computational Advances in Multi-Sensor Adaptive Processing (CAMSAP),10.1109/camsap.2015.7383799,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7383799,ieee_xplore_2026-02-19_05-59-34.csv,"Amplitude comparison is an efficient method to find the direction of arrival (DOA) of a radio frequency (RF) emitter. However, the DOA accuracy obtained by this method is usually poor due to beam pattern distortion. This paper provides a localization and beam pattern auto-calibra..."
EXCLUDE,E_NOT_DOA,No DOA/AoA/array context in title/abstract.,Passive Multisource Tracking via Distributed Sparse Arrays: Homogeneous Data Fusion and Multivariate Adaptation,2025,IEEE Transactions on Intelligent Transportation Systems,10.1109/tits.2025.3528421,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10850592,ieee_xplore_2026-02-19_05-59-34.csv,"The global navigation satellite systems (GNSS) are crucial for applications such as traffic monitoring, intelligent transportation systems and advanced driver assistance systems; however, they are prone to large deviations or even failures in hidden scenarios such as urban canyon..."
EXCLUDE,E_ARRAY_NO_DOA_TRACK,Array/radar terms but no DOA or tracking terms.,Pose-Aware 3D Beamwidth Adaptation for Mobile Extended Reality,2024,ICC 2024 - IEEE International Conference on Communications,10.1109/icc51166.2024.10622341,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10622341,ieee_xplore_2026-02-19_05-59-34.csv,This paper presents a sensor-aided pose-aware beamwidth adaptation design for a conceptual extended reality (XR) Head-Mounted Display (HMD) equipped with a 2D planar array. The beam is tracked and adapted on the user side by leveraging HMD orientation estimates. The beamwidth ada...
INCLUDE,I_DOA_TRACK,Mentions DOA/AoA and tracking (Kalman/EKF/UKF/innovation).,Robust Vehicle Localization Based on Adaptive DOA Estimation and UKF under Varying Interference Conditions,2026,2026 IEEE 23rd Consumer Communications & Networking Conference (CCNC),10.1109/ccnc65079.2026.11366311,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11366311,ieee_xplore_2026-02-19_05-59-34.csv,"Accurate localization in GPS-denied environments is vital for ITS and vehicular networks. While Root-MUSIC offers high accuracy in clean LoS conditions, FBSS enhances robustness under multipath and interference. To overcome the limitations of fixed estimators, this paper proposes..."
EXCLUDE,E_NOT_DOA,No DOA/AoA/array context in title/abstract.,Deep Fuzzy System for Dual-Station Target Tracking With Azimuth and Doppler Measurements,2025,IEEE Transactions on Fuzzy Systems,10.1109/tfuzz.2024.3519767,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10806764,ieee_xplore_2026-02-19_05-59-34.csv,"To address the issues of excessive estimation error and unstable filtering caused by uncertainties in process noise and system models, we propose a Wang–Mendel fuzzy system (WMFS)-based unscented Kalman filter (UKF) algorithm for dual-station target tracking with azimuth and Dopp..."
REVIEW,R_TRACK_ARRAY,Tracking terms with array/radar context; DOA not explicit.,CoPreMo: A Collaborative Predictive Model in Time Series and Its Application to Radar Target Tracking for ADAS/AD Vehicles,2025,IEEE Transactions on Intelligent Vehicles,10.1109/tiv.2024.3461730,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10681252,ieee_xplore_2026-02-19_05-59-34.csv,"Automotivedriving assistant systems (ADAS) and Automated driving (AD) technologies are commonly employed in the control of unmanned vehicles along a path. However, like many other technologies, they come with risks, including potential misdirection and collisions with obstacles a..."
EXCLUDE,E_NOT_DOA,No DOA/AoA/array context in title/abstract.,Generating Augmented Quaternion Random Variable With Generalized Gaussian Distribution,2018,IEEE Access,10.1109/access.2018.2848202,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8386761,ieee_xplore_2026-02-19_05-59-34.csv,"There is a need to generate quaternion valued processes with a given distribution ranging from super-Gaussian, Gaussian to sub-Gaussian with different degrees of properness for numerous practical applications, such as modeling the signal source, testing nonlinear adaptive filter ..."
EXCLUDE,E_NOT_DOA,No DOA/AoA/array context in title/abstract.,Attention-Based End-to-End Differentiable Particle Filter for Audio Speaker Tracking,2024,IEEE Open Journal of Signal Processing,10.1109/ojsp.2024.3363649,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10428039,ieee_xplore_2026-02-19_05-59-34.csv,"Particle filters (PFs) have been widely used in speaker tracking due to their capability in modeling a non-linear process or a non-Gaussian environment. However, particle filters are limited by several issues. For example, pre-defined handcrafted measurements are often used which..."
EXCLUDE,E_ARRAY_NO_DOA_TRACK,Array/radar terms but no DOA or tracking terms.,An interference suppression algorithm for cognitive bistatic airborne radars,2022,Journal of Systems Engineering and Electronics,10.23919/jsee.2022.000056,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9813509,ieee_xplore_2026-02-19_05-59-34.csv,"Interference suppression is a challenge for radar researchers, especially when mainlobe and sidelobe interference coexist. We present a comprehensive anti-interference approach based on a cognitive bistatic airborne radar. The risk of interception is reduced by lowering the launc..."
EXCLUDE,E_NOT_DOA,No DOA/AoA/array context in title/abstract.,A Hybrid Positioning System for Location-Based Services: Design and Implementation,2020,IEEE Communications Magazine,10.1109/mcom.001.1900737,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9112749,ieee_xplore_2026-02-19_05-59-34.csv,"In this article, we propose a hybrid positioning system (HPS) for various seamless localization applications. The base stations in the HPS incorporate four wireless protocols, namely, WiFi, Bluetooth, ZigBee, and utral-wideband (UWB); as a result, the HPS shows better target dete..."
INCLUDE,I_DOA_TRACK,Mentions DOA/AoA and tracking (Kalman/EKF/UKF/innovation).,Adaptive Filters Versus Machine Learning Based Beam Tracking Techniques for Millimeter-Wave Wireless Communications Systems,2024,IEEE Access,10.1109/access.2024.3491870,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10744015,ieee_xplore_2026-02-19_05-59-34.csv,This work compares the data-based using (bidirectional long short-term memory (BiLSTM)) and model-based using (extended Kalman filter (EKF) and least mean squares (LMS)) strategies to track the communication beams for millimeter wave (mm-wave) vehicular communications. This work ...
EXCLUDE,E_NOT_DOA,No DOA/AoA/array context in title/abstract.,Novel Aiding Algorithm for Autonomous Pedestrian Navigation,2023,2023 30th Saint Petersburg International Conference on Integrated Navigation Systems (ICINS),10.23919/icins51816.2023.10168390,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10168390,ieee_xplore_2026-02-19_05-59-34.csv,An algorithm for pedestrian navigation with foot-mounted inertial measurement units (IMUs) based on the extended Kalman filter is presented. Its novelty is in adaptation of state covariances according to some diagnostic tests performed on the pedestrian’s trajectory. Two IMUs att...
EXCLUDE,E_ARRAY_NO_DOA_TRACK,Array/radar terms but no DOA or tracking terms.,Real-time characterization of the ionosphere using diverse data and models,2001,Radio Science,10.1029/1999rs002412,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7773941,ieee_xplore_2026-02-19_05-59-34.csv,"Complete descriptions of spatial and temporal distributions of the ionospheric plasma are necessary for scientific understanding and for several practical applications involving communication, radar, navigation, etc. Ionospheric diagnostic techniques, on the other hand, provide s..."
REVIEW,R_DOA_ONLY,Mentions DOA/AoA but no explicit Kalman/tracking terms; review.,RF-Source Seeking with Obstacle Avoidance Using Real-Time Modified Artificial Potential Fields in Unknown Environments,2025,"2025 25th International Conference on Control, Automation and Systems (ICCAS)",10.23919/iccas66577.2025.11301291,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11301291,ieee_xplore_2026-02-19_05-59-34.csv,"Navigation of UAVs in unknown environments with obstacles is essential for applications in disaster response and infrastructure monitoring. However, existing obstacle avoidance algorithms, such as Artificial Potential Field (APF), are unable to generalize across environments with..."
INCLUDE,I_DOA_TRACK,Mentions DOA/AoA and tracking (Kalman/EKF/UKF/innovation).,Direction of arrival tracking using adaptive robust subspace decomposition and Kalman filter,2023,"2023 20th International Multi-Conference on Systems, Signals & Devices (SSD)",10.1109/ssd58187.2023.10411231,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10411231,ieee_xplore_2026-02-19_06-02-26.csv,"In this paper, we consider directions of arrival estimation and tracking in a noisy and relatively adverse scenario. We thus use a robust subspace tracking method called HTFAPI that exploits a weighted least squares criterion to enhance robustness, followed by a smoothing Kalman ..."
INCLUDE,I_DOA_TRACK,Mentions DOA/AoA and tracking (Kalman/EKF/UKF/innovation).,Direction-of-Arrival Tracking of Multiple Fast-Moving Sources in Antenna Array based Access Networks,2020,ICC 2020 - 2020 IEEE International Conference on Communications (ICC),10.1109/icc40277.2020.9148870,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9148870,ieee_xplore_2026-02-19_06-02-26.csv,"This paper is concerned with the problem of simultaneously tracking the direction-of-arrival (DOA) of multiple fast moving sources using the vector-signal received by a small aperture antenna array of N elements. The antenna array may be located at the Node-B, eNode-B or gNode-B ..."
INCLUDE,I_DOA_TRACK,Mentions DOA/AoA and tracking (Kalman/EKF/UKF/innovation).,Tracking a Plane Wave Direction using Sparse Arrays with an Extended Kalman Filter,2024,NAECON 2024 - IEEE National Aerospace and Electronics Conference,10.1109/naecon61878.2024.10670645,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10670645,ieee_xplore_2026-02-19_06-02-26.csv,"This work focuses on estimating the direction of arrival of a plane wave from a moving source using time domain snapshots captured by a linear array. We employ an extended Kalman filter by linearizing the time domain measurement model. We consider the performance of a full array,..."
INCLUDE,I_DOA_TRACK,Mentions DOA/AoA and tracking (Kalman/EKF/UKF/innovation).,Frequency-domain Robust Underwater Direction-of-arrival Tracking,2025,2025 8th International Conference on Information Communication and Signal Processing (ICICSP),10.1109/icicsp66564.2025.11338321,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11338321,ieee_xplore_2026-02-19_06-02-26.csv,"The robust underwater frequency-domain direction-of-arrival (DOA) tracking is proposed to develop the performance of the DOA tracking in the scenario of uncertain environment noise. The time-domain signal received by hydrophone array is transform to frequency-domain signal, and t..."
INCLUDE,I_DOA_TRACK,Mentions DOA/AoA and tracking (Kalman/EKF/UKF/innovation).,Location Awareness Method for ADS-B Signal Source Based on Satellite,2022,"2022 15th International Congress on Image and Signal Processing, BioMedical Engineering and Informatics (CISP-BMEI)",10.1109/cisp-bmei56279.2022.9980146,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9980146,ieee_xplore_2026-02-19_06-02-26.csv,"Location awareness for a signal source based on satellite is one of a key technology to build an electromagnetic spectrum monitoring system based on satellite. It can realize large-scale, all-weather and long-time target position monitoring by using the high advantages of the sat..."
INCLUDE,I_DOA_TRACK,Mentions DOA/AoA and tracking (Kalman/EKF/UKF/innovation).,Adaptive Generalized Sidelobe Canceler Beamforming With Time-Varying Direction-of-Arrival Estimation for Arrayed Sensors,2020,IEEE Sensors Journal,10.1109/jsen.2019.2962215,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8943308,ieee_xplore_2026-02-19_06-02-26.csv,"Adaptive generalized sidelobe cancelers (GSCs) have been widely used to enhance the desired signal and instantaneously suppress interference signal and noise. However, the GSC beamforming method must know the direction of arrival (DOA) of the desired signal in advance. In this pa..."
INCLUDE,I_DOA_TRACK,Mentions DOA/AoA and tracking (Kalman/EKF/UKF/innovation).,Direction of Arrival Tracking using Orthogonal Dipoles,2024,2024 9th International Conference on Signal and Image Processing (ICSIP),10.1109/icsip61881.2024.10671444,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10671444,ieee_xplore_2026-02-19_06-02-26.csv,"In this paper, we propose a novel approach for tracking the direction of arrival (DOA) using a collocated microphone array equipped with double dipole microphones. Our method consists of two main steps. First, we employ a DOA estimation procedure based on a histogram-based wrappe..."
INCLUDE,I_DOA_TRACK,Mentions DOA/AoA and tracking (Kalman/EKF/UKF/innovation).,Direction-of-Arrival Tracking Loop for Single-Vector Hydrophone,2024,2024 OES China Ocean Acoustics (COA),10.1109/coa58979.2024.10723661,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10723661,ieee_xplore_2026-02-19_06-02-26.csv,"In dynamic scenarios, traditional single-vector hydrophone DOA estimation methods suffer from low accuracy. In this study, for the first time, the concept of a single-vector hydrophone DOA tracking loop is introduced. It employs an average intensity estimator or an active average..."
EXCLUDE,E_NOT_DOA,No DOA/AoA/array context in title/abstract.,An improved Kalman filter positioning method in NLOS environment,2019,China Communications,10.23919/jcc.2019.12.006,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8968725,ieee_xplore_2026-02-19_06-02-26.csv,"In the precision positioning system, NLOS (Non Line of Sight) propagation and clock synchronization error caused by multiple base stations are the main reasons for reducing the reliability of communication and positioning accuracy. So, in the NLOS environment, it has an important..."
INCLUDE,I_DOA_TRACK,Mentions DOA/AoA and tracking (Kalman/EKF/UKF/innovation).,Multi Direction-of-Arrival Tracking Using Rigid and Flexible Antenna Arrays,2021,IEEE Transactions on Wireless Communications,10.1109/twc.2021.3085753,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9463756,ieee_xplore_2026-02-19_06-02-26.csv,This paper is concerned with the problem of simultaneously tracking the direction-of-arrival (DOA) of far-field multiple moving sources/users in wireless communications using the vector-signal received by an antenna array of  $N$  elements. The antenna array can be rigid (fixed a...
INCLUDE,I_DOA_TRACK,Mentions DOA/AoA and tracking (Kalman/EKF/UKF/innovation).,Kalman Filter for Dynamic Estimation of Stochastic Radio Source Power and DoA,2024,"2024 58th Asilomar Conference on Signals, Systems, and Computers",10.1109/ieeeconf60004.2024.10942677,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10942677,ieee_xplore_2026-02-19_06-02-26.csv,"Interferometric measurements corresponds to sample covariance matrices of signals received by several sensors. In scenarios like dynamic radio astronomy imaging, the properties of these signals can vary over time, presenting a challenging case for study. In this context, this wor..."
INCLUDE,I_DOA_TRACK,Mentions DOA/AoA and tracking (Kalman/EKF/UKF/innovation).,Beamforming Optimization based on Kalman Filter for Vehicle in Constrained Route,2019,2019 IEEE International Symposium on Antennas and Propagation and USNC-URSI Radio Science Meeting,10.1109/apusncursinrsm.2019.8888482,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8888482,ieee_xplore_2026-02-19_06-02-26.csv,"By analyzing a simplified model for vehicles in a constrained route like High Speed Railway (HSR), it is found that when the distance between transmitter and route is short, the Direction of Arrival (DOA) changing speed is not a negligible effect. A Kalman Filter based solution i..."
INCLUDE,I_DOA_TRACK,Mentions DOA/AoA and tracking (Kalman/EKF/UKF/innovation).,DOA Tracking Via Signal-Subspace Projector Update,2020,"ICASSP 2020 - 2020 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",10.1109/icassp40776.2020.9054122,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9054122,ieee_xplore_2026-02-19_06-02-26.csv,"We develop a novel direction-of-arrival (DOA) tracking method in which we directly operate the signal-subspace projector instead of tracking the subspace eigenbasis. In each time frame, we employ a multidimensional subspace fitting approach to track the signal-subspace projector ..."
INCLUDE,I_DOA_TRACK,Mentions DOA/AoA and tracking (Kalman/EKF/UKF/innovation).,A Fast Variational Bayesian Adaptive Extended Kalman Filter for Robust Underwater Direction-of-Arrival Tracking,2023,IEEE Sensors Journal,10.1109/jsen.2023.3275318,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10127645,ieee_xplore_2026-02-19_06-02-26.csv,"Underwater direction-of-arrival (DOA) tracking using hydrophone array is an important research subject in passive sonar signal processing. In this study, the robust underwater DOA tracking with the unknown measurement noise results from underwater environmental noise is concerned..."
INCLUDE,I_DOA_TRACK,Mentions DOA/AoA and tracking (Kalman/EKF/UKF/innovation).,Multichannel Overlapping Speaker Segmentation Using Multiple Hypothesis Tracking Of Acoustic And Spatial Features,2021,"ICASSP 2021 - 2021 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",10.1109/icassp39728.2021.9414130,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9414130,ieee_xplore_2026-02-19_06-02-26.csv,An essential part of any diarization system is the task of speaker segmentation which is important for many applications including speaker indexing and automatic speech recognition (ASR) in multi-speaker environments. Segmentation of overlapping speech has recently been a key foc...
INCLUDE,I_DOA_TRACK,Mentions DOA/AoA and tracking (Kalman/EKF/UKF/innovation).,Three-Dimensional Direction Finding of Radio Sources in Low SNR Environments,2022,2022 International Conference on Advanced Technologies for Communications (ATC),10.1109/atc55345.2022.9942977,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9942977,ieee_xplore_2026-02-19_06-02-26.csv,This paper deals with the direction-of-arrival (DOA) estimation problem in three-dimensional (3D) space in low signal-to-noise ratio (SNR) environments. The proposed solution utilizes an Isolog-3D antenna with advanced signal processing techniques for solving direction finding in...
INCLUDE,I_DOA_TRACK,Mentions DOA/AoA and tracking (Kalman/EKF/UKF/innovation).,DoA Estimation and Kalman Filter Based Multi-Antenna System for Vehicle Position in mmWave Network,2025,IEEE Open Journal of Vehicular Technology,10.1109/ojvt.2025.3608747,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11162567,ieee_xplore_2026-02-19_06-02-26.csv,"With the advancement of Beyond 5G/6G technologies, accurate positioning and velocity estimation in Internet of Vehicles (IoV) systems has become increasingly critical. Although GPS can provide real-time location information, its performance degrades significantly in environments ..."
INCLUDE,I_DOA_TRACK,Mentions DOA/AoA and tracking (Kalman/EKF/UKF/innovation).,Direction-of-arrival estimation in sensor arrays for moving terminals,2017,2017 14th IEEE Annual Consumer Communications & Networking Conference (CCNC),10.1109/ccnc.2017.7983205,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7983205,ieee_xplore_2026-02-19_06-02-26.csv,"The beamforming technique usually employs multiple sensors or sensor array to enhance receiving signals such that the generalized sidelobe canceler (GSC) is commonly applied for eliminating interfering signals. In this paper, a new direction-of-arrival (DOA) estimation method is ..."
INCLUDE,I_DOA_TRACK,Mentions DOA/AoA and tracking (Kalman/EKF/UKF/innovation).,Iterative Doppler-Only Track initialization enhanced with Direction of Arrival information,2021,2021 21st International Radar Symposium (IRS),10.23919/irs51887.2021.9466223,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9466223,ieee_xplore_2026-02-19_06-02-26.csv,"We study the sensitivity of tracking initialization in a passive radar receiver network which uses the concept of forward-scattering for target tracking. Multi-static radar on VHF is used with Doppler-only information, which as a method is a challenging way of tracking targets. D..."
INCLUDE,I_DOA_TRACK,Mentions DOA/AoA and tracking (Kalman/EKF/UKF/innovation).,Channel Parameter Estimation and TX Positioning With Multi-Beam Fusion in 5G mmWave Networks,2022,IEEE Transactions on Wireless Communications,10.1109/twc.2021.3119227,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9578931,ieee_xplore_2026-02-19_06-02-26.csv,"Since the beginning of the fifth generation (5G) standardization process, positioning has been considered as a key element in future cellular networks. In order to perform accurate positioning, solutions for estimating and processing location-related measurements such as directio..."
INCLUDE,I_DOA_TRACK,Mentions DOA/AoA and tracking (Kalman/EKF/UKF/innovation).,Kalman Filtering based Target Tracking for Multistatic Sensing in ISAC Systems,2025,2025 IEEE International Symposium on Circuits and Systems (ISCAS),10.1109/iscas56072.2025.11043835,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11043835,ieee_xplore_2026-02-19_06-02-26.csv,"The advancement of Integrated Sensing and Communication (ISAC) has facilitated the adoption of target tracking technologies, yet most existing research focuses on waveform design rather than specific tracking algorithms within ISAC systems. To address this gap, this paper propose..."
EXCLUDE,E_NOT_DOA,No DOA/AoA/array context in title/abstract.,TDoA-based 3-D positioning using UWB with a Kalman filter,2025,2025 IEEE 14th Global Conference on Consumer Electronics (GCCE),10.1109/gcce65946.2025.11275432,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11275432,ieee_xplore_2026-02-19_06-02-26.csv,"This paper proposes a technique to reduce positioning error, especially in the height direction, for 3D positioning. A new tandem-structured Kalman filter is proposed to reduce the observation noise in the time difference of arrivals and error in the solved positions of tags by t..."
INCLUDE,I_DOA_TRACK,Mentions DOA/AoA and tracking (Kalman/EKF/UKF/innovation).,Comparative analysis of EKF and Particle Filter performance for an acoustic tracking system for AUVs exploiting bearing-only measurements,2020,Global Oceans 2020: Singapore – U.S. Gulf Coast,10.1109/ieeeconf38699.2020.9389288,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9389288,ieee_xplore_2026-02-19_06-02-26.csv,This paper aims to compare different navigation state estimation approaches for the tracking of an Autonomous Underwater Vehicle (AUV) based on Direction of Arrival (DoA) measurements. The use of passive acoustic devices to compute the DoA information allows for a high rate (up t...
INCLUDE,I_DOA_TRACK,Mentions DOA/AoA and tracking (Kalman/EKF/UKF/innovation).,DOA Tracking Combining Compressive Sampling and Kalman Filtering for MIMO Radars Operating in Cluttered Environment,2026,IEEE Access,10.1109/access.2026.3654100,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11352852,ieee_xplore_2026-02-19_06-02-26.csv,"Taking into account the off-grid effect and clutter, a tailored compressive sampling (CS)-based algorithm is developed to estimate the Direction of Arrival (DOA) in radars that use Multiple-Input Multiple-Output (MIMO) technology and operate at sub-Nyquist rates. To enhance the p..."
INCLUDE,I_DOA_TRACK,Mentions DOA/AoA and tracking (Kalman/EKF/UKF/innovation).,Bayesian Compressive Sensing Approaches for Direction of Arrival Estimation With Mutual Coupling Effects,2017,IEEE Transactions on Antennas and Propagation,10.1109/tap.2017.2655013,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7839908,ieee_xplore_2026-02-19_06-02-26.csv,"The problem of estimating the dynamic direction of arrival (DOA) of far-field signals impinging on a uniform linear array, with mutual coupling effects, is addressed. This paper proposes two novel approaches able to provide accurate solutions, including at the endfire regions of ..."
INCLUDE,I_DOA_TRACK,Mentions DOA/AoA and tracking (Kalman/EKF/UKF/innovation).,Beam pattern synthesis for a cognitive frequency diverse array radar to localize multiple targets with same direction but different ranges,2016,2016 13th International Bhurban Conference on Applied Sciences and Technology (IBCAST),10.1109/ibcast.2016.7429954,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7429954,ieee_xplore_2026-02-19_06-02-26.csv,"Radars strongly depend upon the reflected echoes to identify targets of interest on unknown locations in the surrounding environment. If multiple waves impinge on a linear array from the same direction, but different ranges than it is not possible for a phased array radar (PAR) t..."
EXCLUDE,E_NOT_DOA,No DOA/AoA/array context in title/abstract.,Mobile localization via high-degree cubature Kalman filter with sensor position uncertainties,2017,2017 20th International Conference on Information Fusion (Fusion),10.23919/icif.2017.8009743,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8009743,ieee_xplore_2026-02-19_06-02-26.csv,"This paper investigates the passive localization of a mobile source based on time difference of arrival (TDOA) measurements when the sensor positions suffer from random uncertainties. In the formulation of the dynamic system, the nonlinear measurement function contains random par..."
INCLUDE,I_DOA_TRACK,Mentions DOA/AoA and tracking (Kalman/EKF/UKF/innovation).,An RFID Tracking System for Agricultural Safety,2021,2021 IEEE International Conference on RFID Technology and Applications (RFID-TA),10.1109/rfid-ta53372.2021.9617356,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9617356,ieee_xplore_2026-02-19_06-02-26.csv,This paper proposes a tracking system of workers operating in proximity of remote-control farm machineries (RCFMs) in agricultural and forestry working areas by aiming to enhance the operator safety. It consists of a passive Ultra-High-Frequency (UHF) Radio Frequency Identificati...
INCLUDE,I_DOA_TRACK,Mentions DOA/AoA and tracking (Kalman/EKF/UKF/innovation).,EKF based Direct Target Motion Analysis,2022,2022 2nd Asia Conference on Information Engineering (ACIE),10.1109/acie55485.2022.00020,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9831629,ieee_xplore_2026-02-19_06-02-26.csv,"Traditional target motion analysis (TMA) is normally carried out with a two-step method, where the first step is to search for the parameterized measurements (e.g., bearing, Doppler) of a target with signal processing algorithms, followed by a recursive or batched geographic trac..."
INCLUDE,I_DOA_TRACK,Mentions DOA/AoA and tracking (Kalman/EKF/UKF/innovation).,Hydroacoustic Array Beamforming Technique Based on KPM-LCMV Algorithm,2023,2023 IEEE 6th International Conference on Electronic Information and Communication Technology (ICEICT),10.1109/iceict57916.2023.10245162,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10245162,ieee_xplore_2026-02-19_06-02-26.csv,"The adaptive beamforming algorithm, Linearly Constrained Minimum Variance (LCMV), is improved and implemented in simulation. In this paper, we propose an adaptive beamforming algorithm based on Kalman filtering with special matrix processing (KPM-LCMV, Kalman filtering & PID cont..."
EXCLUDE,E_NOT_DOA,No DOA/AoA/array context in title/abstract.,Multi-Hypothesis Square-Root Cubature Kalman Particle Filter for Speaker Tracking in Noisy and Reverberant Environments,2020,"IEEE/ACM Transactions on Audio, Speech, and Language Processing",10.1109/taslp.2020.2982799,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9044756,ieee_xplore_2026-02-19_06-02-26.csv,"In this paper, a multi-hypothesis square-root cubature Kalman particle filter (MH-SRCKPF) is proposed for speaker tracking in noisy and reverberant environments with distributed microphone arrays. The conventional cubature Kalman particle filter (CKPF) uses the cubature Kalman fi..."
INCLUDE,I_DOA_TRACK,Mentions DOA/AoA and tracking (Kalman/EKF/UKF/innovation).,Multiple signal classification algorithm compensated by Extended Kalman Particle Filtering for Wi-Fi through wall multi-target tracking,2016,2016 IEEE-APS Topical Conference on Antennas and Propagation in Wireless Communications (APWC),10.1109/apwc.2016.7738120,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7738120,ieee_xplore_2026-02-19_06-02-26.csv,"In this work, a multiple-target tracking problem for a Wi-Fi through wall system is formulated and a new Direction Of Arrival (DOA) angle estimation technique is investigated to solve the tracking problem in the presence of clutter. The DOA estimation from objects behind walls is..."
